Both Sensors Readings
Current Time,Temperature (C),Gas (ohm),Humidity (%),Pressure (hPa),Altitude (m),PM1.0 (standard),PM2.5 (standard),PM10 (standard),PM1.0 (env),PM2.5 (env),PM10 (env),Particles >0.3um,Particles >0.5um,Particles >1.0um,Particles >2.5um,Particles >5.0um,Particles >10um
2025-02-21 16:31:16,19.131953125,205892,44.148704169423425,1008.8749002756654,36.48953842687309,2,3,4,2,3,4,510,145,27,3,1,0
2025-02-21 16:31:16,19.133515625,208235,44.1549737685861,1008.8757874206735,36.48212641628589,2,3,4,2,3,4,510,145,27,3,1,0
2025-02-21 16:31:17,19.1221875,207579,44.17201313871114,1008.8774875768181,36.46792179118088,2,3,4,2,3,4,510,145,27,3,1,0
2025-02-21 16:31:18,19.1227734375,207841,44.17817557882776,1008.8801743128029,36.445474435173445,2,3,5,2,3,5,525,150,29,3,2,1
2025-02-21 16:31:19,19.1223828125,208235,44.184230253980566,1008.8795245037701,36.45090350704967,2,3,5,2,3,5,525,150,29,3,2,1
2025-02-21 16:31:20,19.1094921875,207057,44.182804726633,1008.8752007560797,36.48702794153534,2,3,5,2,3,5,525,150,29,3,2,1
2025-02-21 16:31:21,19.106953125,208367,44.20081836532981,1008.8744009204909,36.49371049329444,2,4,5,2,4,5,510,150,29,4,2,1
2025-02-21 16:31:22,19.1071484375,208895,44.19474160994806,1008.8730138465418,36.505299376962476,2,4,5,2,4,5,510,150,29,4,2,1
2025-02-21 16:31:22,19.0954296875,207972,44.193445610690475,1008.8757747829044,36.48223200358543,2,4,5,2,4,5,510,150,29,4,2,1
2025-02-21 16:31:23,19.09484375,208631,44.22387410741497,1008.8799358941753,36.447466392169886,2,4,5,2,4,5,504,150,32,4,2,1
2025-02-21 16:31:24,19.096796875,208499,44.19359680168701,1008.879761131219,36.44892651446118,2,4,5,2,4,5,504,150,32,4,2,1
2025-02-21 16:31:25,19.0856640625,208103,44.20456216919226,1008.8749364909073,36.489235851934005,2,4,5,2,4,5,504,150,32,4,2,1
2025-02-21 16:31:26,19.0848828125,208895,44.222772053286015,1008.8821964449478,36.42857979623807,2,4,5,2,4,5,537,160,33,4,2,1
2025-02-21 16:31:27,19.0837109375,208367,44.21654343625583,1008.8819588523942,36.43056484827242,2,4,5,2,4,5,537,160,33,4,2,1
2025-02-21 16:31:28,19.070625,208367,44.22729385922111,1008.8841557252777,36.41221030181534,2,4,5,2,4,5,537,160,33,4,2,1
2025-02-21 16:31:28,19.0731640625,209427,44.26417385502791,1008.8883797508158,36.3769192871232,2,4,6,2,4,6,486,145,35,5,3,2
2025-02-21 16:31:29,19.0786328125,207710,44.28918340621014,1008.8854943115495,36.401026628315385,2,4,6,2,4,6,486,145,35,5,3,2
2025-02-21 16:31:30,19.071015625,206537,44.28833979735222,1008.8813817997684,36.435386042571594,2,4,6,2,4,6,486,145,35,5,3,2
2025-02-21 16:31:31,19.0731640625,208367,44.31908760575661,1008.8815321771409,36.43412966035605,2,4,6,2,4,6,516,150,32,5,3,2
2025-02-21 16:31:32,19.07765625,208499,44.307380663174165,1008.880445890022,36.44320544286571,2,4,6,2,4,6,516,150,32,5,3,2
2025-02-21 16:31:33,19.0684765625,207448,44.330773606488556,1008.8788696731225,36.45637453674381,2,4,6,2,4,6,516,150,32,5,3,2
2025-02-21 16:31:34,19.0731640625,209028,44.33739621335617,1008.8729727124437,36.505643049016975,2,4,6,2,4,6,546,160,35,5,3,2
2025-02-21 16:31:35,19.078046875,209427,44.368456572227345,1008.8776719203753,36.466381621385175,2,4,6,2,4,6,546,160,35,5,3,2
2025-02-21 16:31:35,19.067890625,207579,44.37343457008592,1008.8693355074106,36.53603164683462,2,4,6,2,4,6,546,160,35,5,3,2
2025-02-21 16:31:36,19.0712109375,208235,44.392117406203674,1008.8645878483586,36.5756981450574,3,4,6,3,4,6,555,165,35,4,2,2
